"Comment définit-on la probabilité conditionnelle de $B$ sachant $A$, notée $P_A(B)$ ?",$P_A(B) = \frac{P(A \cap B)}{P(A)}$
Quelle est la condition nécessaire sur $P(A)$ pour définir la probabilité conditionnelle $P_A(B)$ ?,$P(A) \neq 0$
Quelle relation permet de calculer $P(A \cap B)$ à partir de $P_A(B)$ ?,$P(A \cap B) = P(A) \times P_A(B)$
"Dans un arbre pondéré, à quoi est égale la somme des probabilités des branches issues d'un même nœud ?",Elle est égale à $1$.
"Dans un arbre pondéré, si on connaît $P(A)$, comment calcule-t-on $P(\bar{A})$ ?",$P(\bar{A}) = 1 - P(A)$
"Dans un arbre pondéré, quelle est la somme de $P_A(B)$ et $P_A(\bar{B})$ ?",$1$
Comment calcule-t-on la probabilité d'un chemin complet dans un arbre pondéré ?,En faisant le produit des probabilités des branches qui le composent.
Quel outil de modélisation est privilégié pour une expérience aléatoire à plusieurs étapes ?,L'arbre pondéré.
Définition : Partition de l'univers $\Omega$,Ensemble d'événements disjoints deux à deux dont la réunion est $\Omega$.
"Énoncez la formule des probabilités totales pour un événement $B$ et une partition $A_1, A_2, \dots, A_n$.",$P(B) = P(A_1 \cap B) + P(A_2 \cap B) + \dots + P(A_n \cap B)$
Formule des probabilités totales : $P(B) = \sum_{i=1}^{n} \dots$,$P(A_i) \times P_{A_i}(B)$
Quelle est la condition d'indépendance de deux événements $A$ et $B$ basée sur l'intersection ?,$P(A \cap B) = P(A) \times P(B)$
"Si $P(A) \neq 0$, quelle égalité impliquant $P_A(B)$ caractérise l'indépendance de $A$ et $B$ ?",$P_A(B) = P(B)$
Qu'est-ce qu'une épreuve de Bernoulli ?,Une expérience aléatoire n'admettant que deux issues : le succès et l'échec.
"Dans une épreuve de Bernoulli, comment note-t-on traditionnellement la probabilité du succès ?",$p$
"Dans une épreuve de Bernoulli de paramètre $p$, quelle est la probabilité de l'échec $q$ ?",$q = 1 - p$
Quelle valeur associe-t-on au succès dans une variable aléatoire suivant une loi de Bernoulli ?,$1$
Quelle valeur associe-t-on à l'échec dans une variable aléatoire suivant une loi de Bernoulli ?,$0$
Qu'est-ce qu'un schéma de Bernoulli ?,La répétition de $n$ épreuves de Bernoulli identiques et indépendantes.
