Quelle est la définition d'une asymptote horizontale à la courbe $C_f$ en $+\infty$ ?,C'est la droite d'équation $y = L$ lorsque $\lim_{x \to +\infty} f(x) = L$ (avec $L \in \mathbb{R}$).
"Géométriquement, que représente la droite d'équation $x = a$ si $\lim_{x \to a} f(x) = \pm\infty$ ?",Une asymptote verticale à la courbe $C_f$.
Comment définit-on formellement $\lim_{x \to +\infty} f(x) = L$ à l'aide d'intervalles ?,Tout intervalle ouvert contenant $L$ contient toutes les valeurs $f(x)$ pour $x$ assez grand.
Traduisez formellement $\lim_{x \to +\infty} f(x) = +\infty$ à l'aide d'un réel $M > 0$.,$f(x) > M$ pour $x$ assez grand.
Citez les quatre formes indéterminées (F.I.) classiques pour les limites.,"« $\infty - \infty$ », « $0 \times \infty$ », « $\frac{0}{0}$ » et « $\frac{\infty}{\infty}$ »."
Énoncez la règle de la limite d'une fonction composée $v \circ u$ en $a$ si $\lim_{x \to a} u(x) = b$ et $\lim_{y \to b} v(y) = c$.,$\lim_{x \to a} v(u(x)) = c$.
Quelles sont les deux conditions sur les fonctions $g$ et $h$ pour appliquer le Théorème des Gendarmes à $f$ ?,$g(x) \le f(x) \le h(x)$ et $\lim_{x \to a} g(x) = \lim_{x \to a} h(x) = L$.
Quelle est la condition de limite pour qu'une fonction $f$ soit continue en un point $a$ ?,$\lim_{x \to a} f(x) = f(a)$.
Interprétez graphiquement la notion de continuité d'une fonction sur un intervalle.,On peut tracer sa courbe représentative sans lever le crayon.
Citez trois exemples de fonctions de référence continues sur tout intervalle de leur ensemble de définition.,"Les fonctions polynômes, la fonction exponentielle et les fonctions trigonométriques (sin, cos)."
"Énoncez le Théorème des Valeurs Intermédiaires (TVI) pour une fonction $f$ sur $[a, b]$.","Si $f$ est continue sur $[a, b]$, pour tout $k$ entre $f(a)$ et $f(b)$, il existe au moins un $c \in [a, b]$ tel que $f(c) = k$."
Quelle condition supplémentaire au TVI assure l'unicité de la solution de l'équation $f(x) = k$ ?,La stricte monotonie de la fonction $f$ sur l'intervalle.
Comment appelle-t-on le corollaire du TVI qui traite des fonctions continues et strictement monotones ?,Le théorème de la bijection.
"Si $f$ réalise une bijection de $I$ vers $J$, que signifie l'équation $f(x) = y$ pour tout $y \in J$ ?",Elle admet une unique solution $x \in I$.
Quelle est la notation usuelle de la fonction réciproque de $f$ ?,$f^{-1}$.
"Si $f$ est une bijection continue et strictement croissante sur $I$, quel est le sens de variation de $f^{-1}$ ?",$f^{-1}$ est également strictement croissante sur $f(I)$.
Par rapport à quelle droite les courbes $C_f$ et $C_{f^{-1}}$ sont-elles symétriques dans un repère orthonormé ?,"La première bissectrice, d'équation $y = x$."
Définition : Fonction racine $n$-ième,"C'est la fonction réciproque de $f: x \mapsto x^n$ sur l'intervalle $[0, +\infty[$."
